y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
2,0,4,3,8,1,4,1,1,12,1,2,0,1,1,0,1,4,0,2,2,1,5,0,14,0,0,0,0,0,0
0,2,8,0,0,0,6,1,0,0,0,0,0,0,0,0,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,4,0,0,0,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,9,3,0,8,3,0,0,0,0,1,0,0
0,3,6,0,0,0,8,3,0,2,0,0,0,3,0,0,0,3,0,0,3,26,4,0,0,0,0,0,0,0,0
0,2,3,2,1,0,0,1,2,3,2,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0
1,0,0,9,0,0,9,0,10,0,10,3,1,1,2,0,1,1,0,0,0,26,0,0,0,0,3,0,0,0,0
0,0,4,1,0,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,1,0
2,0,1,1,0,0,5,0,1,0,1,5,1,0,3,0,1,1,0,0,0,16,0,8,0,0,0,0,0,0,0
2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,7,0,0,3,0,1,4,5,4,2,0,10,0,0,7,1,0,0,0,0,3,0,0,3,0,0,0,1,0
2,0,1,1,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,0,6,0,0,0,2,0,0,1,0,1,0,2,7,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,2
