y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0,0,0,3,0,0,0,4,1,0,4,0,4,0,4,1,1,0,0,0,0,0,3,0,0,0,1,0,3,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,4,2,0,0,4,0,0,2,5,0,2,4,0,0,0,4,1,0,5,0,0,4,0,1,0,4,0,0,0,0,0,12
0,0,0,2,0,1,0,1,7,0,0,1,2,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,2,0,6,0,2,1,0
0,0,0,0,0,0,0,5,0,0,5,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,4,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,1,0,0,3,1,0,4,2,7,8,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
0,0,0,3,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,2,0,0,3,0,2,6,0,0,0,0,0,0,0
1,9,5,3,0,0,0,5,0,7,5,1,1,6,5,2,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1,29,2,6,5,16,1,7,0,0,7,1,0,1,8,6,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,7,1,0,0,0,0,0,1,0,1,0,2,2,0,15,0,0,1,0,0,0,0,0,20,10,0,2,0,0,4,0
1,26,0,4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,3,12,6,16,0,0,1,9,1,0,0,0,0,1,0,0,0,0,0,0,6,3,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,4,5,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
