y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
2.0,-1.4037,-1.93965,1.95345,-2.22324,-1.59548,2.49764,-2.15305,-2.49174,1.77326,2.31682,2.24543,1.98973,0.14855,-1.98606,0.43083,-0.62781,-2.0218,-1.28559,-1.77141,1.17457,1.17222,1.1314,-2.45126,0.53331,-2.20132,1.88927,2.31311,0.2886,1.0306,-1.9012,-0.60473,1.62484,-2.46792,2.43014,-1.13999,-2.50602,-1.9076,-1.34174,-0.98235,-0.68568,-2.14462,0.47446,-1.66726,-1.6672,-0.59164,2.09767,0.42332,1.91517,-2.46108,1.34944,-2.26261,-0.74483,-2.2777,1.99177,-1.61648,-2.09274,-0.11475,-1.97651,-1.57636,-1.34922,-1.07139,-2.23468,-2.2773,-1.42471,1.9772,-0.01299,1.13358,-0.85872,-0.35226,0.14885,0.30267,1.2754,-1.56082,-2.13634,-2.52463,1.17646,1.82832,-2.17846,-1.15763,1.96772,2.45105,-1.58898,0.58182,-2.45126,2.13057,-1.03707,-2.39337,0.70798,-0.72346,1.37809,-1.03551,1.22756,-1.77588,-1.35333,0.22077,1.77704,0.96256,-0.81259,0.94609,1.61486
0.0,-0.0121,1.13815,-0.82517,0.43574,-1.02418,-1.1196,1.7563,0.53457,-0.66206,-0.48349,-1.08095,-1.20097,0.02662,-0.09107,-1.30604,0.7003,0.72631,0.01665,0.27207,-0.93755,-0.19756,0.7007,0.87177,0.64166,0.42958,-0.45114,-0.63222,-0.67706,0.75804,-0.16945,1.34627,0.16072,0.92992,-0.45815,0.69972,0.18846,1.02602,0.13979,0.69666,0.46923,0.40529,-1.17581,0.96703,0.05263,0.25649,-0.47992,-0.26739,-0.3353,0.7345,-0.95963,1.18691,0.7502,1.06812,-0.57983,0.41089,1.3565,1.70311,0.72702,0.21639,1.77457,1.63031,0.36714,0.48505,0.74972,0.0403,-0.78442,-2.03292,0.05122,0.46527,0.21189,-1.54259,-0.96812,0.60808,0.67728,1.06628,0.69369,-0.34715,0.97594,0.63088,-0.31669,-0.57216,0.24253,-0.4724,1.10678,-0.9142,1.12583,0.57476,0.3732,0.71417,-0.37717,0.60912,-0.19848,0.53788,-0.41404,0.07909,-0.7289,1.12838,0.03769,-0.28152,-1.24638
0.0,2.35623,0.90372,-1.04448,1.35883,1.66028,0.20108,-0.7238,1.48395,0.49321,-1.70066,-0.27616,1.45223,0.85986,2.18432,-0.71424,0.55937,1.18162,1.85262,1.61338,1.35386,-1.27563,-3.11154,0.73219,1.95937,1.42729,-2.14872,-1.40001,2.31177,1.27496,2.27371,-2.55294,-1.96773,1.01916,-1.56948,2.17492,1.13167,0.22071,1.82213,0.61451,1.43634,1.92974,2.54372,1.42645,2.57557,-1.65463,-2.00192,1.9579,-1.88533,1.32295,-0.369,0.72794,0.72394,0.76045,-1.91685,1.90819,1.06773,-2.30129,1.53831,2.07877,-0.8769,-0.37906,1.48557,2.54449,1.58801,-1.1807,-0.9558,2.28024,-0.73675,1.09286,-2.43554,2.85448,-1.28812,-1.53092,1.55447,0.757,-2.01799,-1.32028,1.56097,1.34881,-1.21459,-1.21893,2.21829,1.63349,0.5084,-0.80705,0.82216,1.52056,-2.52885,-1.94966,-1.24048,-1.72563,-2.0817,1.07564,0.42156,-1.90872,-1.40861,-2.1459,2.23636,0.22032,1.78704
1.0,-1.26494,-1.37592,1.35013,-1.71422,-1.03633,1.39389,-1.10069,-1.6131,0.9787,1.6346,1.21371,0.7831,-0.13495,-1.43811,0.7134,-0.69631,-1.36107,-1.30616,-1.5084,0.24817,1.30617,1.08553,-1.34235,-0.50972,-1.4081,1.34881,1.43105,-0.64612,0.73384,-1.44036,0.10972,1.59997,-1.66706,1.62089,-0.61515,-1.57325,-1.00432,-1.05712,-0.92417,-0.67198,-1.66997,-0.33954,-1.17692,-1.28414,0.34273,1.55725,-0.30849,1.47636,-1.55501,1.06094,-1.21927,-0.6438,-1.48695,1.48023,-1.29569,-1.48132,0.52622,-1.32151,-1.22286,-0.74161,-0.63647,-1.4957,-1.31837,-1.07645,1.19887,0.23487,0.40158,-0.11117,-0.6226,0.68072,-0.57973,0.96526,-0.48668,-1.45249,-1.68958,0.98799,1.32141,-1.41312,-0.99126,1.47736,1.49798,-1.38629,-0.23781,-1.45147,1.44841,-1.07782,-1.58411,0.94753,-0.03583,1.19188,-0.13802,1.22119,-1.12626,-1.21384,0.54949,1.31231,1.44486,-0.88101,0.44646,0.23047
0.0,0.06764,-0.40205,0.1017,-0.60866,-0.41049,1.13086,-1.01911,-0.76134,1.29419,0.44729,0.44554,1.35297,0.22531,-0.54048,-0.51831,0.63686,-0.39805,-0.0457,0.03414,0.84633,-0.33494,0.05883,-0.78167,0.59431,-0.19463,0.32317,0.61632,1.09705,0.67191,-0.1193,-1.1251,0.11007,-0.77963,0.65606,0.23711,-0.94108,-0.38718,0.18638,0.37224,0.36853,-0.44289,0.68481,0.07251,-0.1557,-0.36659,0.34548,0.9677,0.2679,-0.70526,0.08429,-0.88281,0.70896,-0.21075,0.3127,0.06214,-0.91206,-0.69697,-0.18747,0.08659,-0.3208,-0.43017,-0.45507,-0.62203,0.17458,1.28649,-0.85625,0.82845,-0.97307,0.38502,-0.63371,0.83542,-0.1376,-1.28648,-0.07309,-0.78416,-0.21838,-0.16438,-0.35055,0.3364,0.39095,1.12813,0.00206,0.76396,-0.94979,1.30231,0.25327,-0.58343,-0.36617,-1.0601,0.02973,-0.94628,-0.16529,-0.4227,-0.95976,-0.62627,0.04038,0.09622,0.41535,-0.16477,0.59497
0.0,-0.75438,-0.53317,0.81633,-0.80569,-0.89356,0.15866,0.00513,-0.51932,-0.41783,0.71274,0.54724,-0.41634,0.12919,-0.75896,0.5677,-0.86195,-0.74841,-0.79346,-0.95847,-0.68573,0.88155,0.77634,-0.41912,-0.39678,-0.81192,0.76729,0.52701,-0.63997,-0.20665,-0.73164,0.74148,0.93531,-0.42146,0.57563,-0.34606,-0.46517,-0.62267,-1.089,-0.96209,-0.85232,-0.81624,-0.85157,-0.81871,-0.6272,0.51122,0.64566,-0.79803,0.82764,-0.56431,0.66851,0.04109,-0.95885,-0.73771,0.74992,-0.86649,-0.31297,0.45698,-0.87931,-0.91809,-0.3835,0.52635,-0.51772,-0.43676,-0.81797,0.07021,0.71845,-0.11633,0.61045,-0.909,0.7065,-0.71714,0.77415,0.30767,-0.89487,-0.5098,1.17867,1.06692,-0.54568,-0.78712,0.82066,0.40443,-0.85049,-0.61018,-0.03106,-0.31588,-0.77143,-0.72262,0.97106,0.7815,1.07979,0.64611,0.78602,-0.82967,-0.18249,0.76104,0.78763,1.03264,-0.76811,0.8005,-0.30314
0.0,0.02761,0.20448,-0.57458,0.41632,0.6615,-1.33582,1.35188,0.93254,-0.82695,-0.5427,-0.74458,-1.30494,-0.95953,0.66905,0.58282,-0.46629,0.37887,-0.16521,0.03477,-1.09082,0.44317,-0.00915,0.92325,-0.99952,0.50907,-0.84498,-0.71787,-1.05934,-1.21783,0.40867,0.69714,0.00242,0.74898,-0.87286,-0.1377,1.21861,0.92419,0.0759,-0.36106,-0.1954,0.49198,-0.83603,0.0629,0.18593,1.38962,-0.40577,-1.26697,-0.15525,0.95608,0.06491,1.00751,-0.28523,0.5172,-0.44391,0.00326,0.50156,0.62983,0.36322,0.12558,0.49382,0.3353,0.75131,0.88107,-0.1493,-1.00461,0.82858,-0.96337,1.40817,-0.70487,0.66395,-0.89638,0.24573,1.32412,0.41215,1.01688,-0.04879,-0.33869,0.62778,-0.14043,-0.51022,-1.17242,-0.05548,-1.29154,1.1865,-0.89526,-0.55181,0.86908,0.62822,1.185,0.17033,1.26456,0.34445,0.69547,0.24959,0.85872,-0.13087,0.1068,-0.38307,0.0263,-1.49114
1.0,0.67688,0.11223,-0.75169,0.77186,1.30023,-0.56306,-0.3327,0.88513,-0.46347,-0.67043,-1.11958,-0.18865,-0.21388,1.08017,0.18148,0.50154,0.43716,1.00846,1.05177,0.24877,-0.97426,-1.0855,-0.10696,-0.1241,1.2088,-0.86634,-0.80418,-0.26886,-1.24578,0.86126,-0.7135,-0.7965,0.53836,-0.70779,0.35683,0.82482,0.53231,0.42653,0.34117,0.25226,0.69464,0.30762,0.52481,0.83614,-0.37246,-0.69548,0.26171,-0.54941,0.56161,-0.3552,0.20365,0.2239,0.88539,-0.79348,0.71435,0.2559,-0.89049,0.58865,0.89254,-0.25619,0.18658,0.8154,0.58992,0.27342,-0.42756,-0.18819,0.00316,-0.15071,0.16521,-0.6629,0.45681,-0.30681,-0.60187,0.35761,0.77635,-0.96276,-0.95218,0.72046,0.41975,-0.97339,-0.40553,0.69048,0.0502,0.4131,-0.53286,0.37803,0.55738,-0.57797,0.00362,-0.55173,0.07699,-0.61343,0.316,1.2733,-0.22321,-0.58341,-1.30712,0.54507,-0.27435,-0.57234
0.0,1.68093,1.1398,-0.681,1.12085,0.29054,-0.23351,0.29515,1.10874,-0.61595,-1.27443,-1.19912,0.04484,1.48999,1.1599,-0.67145,0.39513,1.045,1.18645,1.20573,0.18223,-1.01858,-1.07296,0.64273,0.82745,0.92746,-0.6348,-1.405,1.02189,0.44923,1.63786,-1.14457,-1.04631,1.11965,-1.18961,1.78789,0.77434,0.06635,0.87788,0.4849,0.65035,1.16603,0.78803,1.20674,1.85906,-0.79224,-1.49585,0.89318,-1.43599,1.13089,-0.62152,1.03063,0.43863,1.05865,-1.42842,1.36903,1.33969,-1.35587,1.08497,1.32157,-0.10865,1.07985,1.18156,1.20815,1.27404,-0.5454,-0.63515,0.26749,-0.52627,0.65728,-1.25382,1.10786,-1.18122,-0.62432,1.20216,0.70066,-0.65016,-0.71735,1.33783,1.21377,-0.81717,-0.88953,1.56122,1.04951,0.78917,-0.90351,0.74156,0.97569,-0.82974,-0.75853,-0.82788,-0.41791,-1.57782,0.22351,0.71572,-1.42113,-1.23585,-0.58447,1.56927,-0.03721,0.51377
1.0,-1.97353,-1.76696,1.53345,-1.52483,-0.34038,-0.49098,0.43198,-0.73369,-1.1398,1.47047,0.9699,-1.54543,-1.06188,-1.13281,2.47183,-2.23719,-1.54202,-2.2825,-2.16978,-2.11817,2.42245,1.83001,-0.59184,-2.66898,-1.57185,1.40986,0.92544,-2.51361,-1.97025,-1.36183,1.94964,2.12453,-0.88457,0.97149,-2.03757,-0.0459,-0.90101,-2.17752,-2.11222,-2.36251,-1.63963,-2.25858,-2.07079,-1.40893,2.52712,1.68704,-2.61119,1.89158,-0.94694,2.02497,0.16559,-2.25404,-1.52938,1.5745,-2.20096,-1.17292,1.46288,-1.66839,-2.15338,-0.66837,0.14464,-0.92743,-1.02654,-2.30405,-0.90701,2.59161,-0.24725,2.4255,-2.51212,2.72594,-2.28174,2.27417,1.80252,-1.76174,-0.64688,1.76776,1.87062,-1.31645,-2.42142,1.53495,0.40663,-2.16993,-2.64468,0.13491,-0.28793,-2.21508,-1.11465,2.47014,2.49619,2.18013,2.20692,2.37783,-1.07202,0.45428,2.686,2.03595,1.85189,-2.53909,1.60752,-1.39339
